ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
17.08.2026,АДА,14300
17.08.2026,АЛЕКСАНДРОВАЦ,20642
17.08.2026,АЛЕКСИНАЦ,39227
17.08.2026,АЛИБУНАР,16686
17.08.2026,АПАТИН,23410
17.08.2026,АРАНЂЕЛОВАЦ,36822
17.08.2026,АРИЉЕ,14757
17.08.2026,БАБУШНИЦА,7926
17.08.2026,БАЈИНА БАШТА,21378
17.08.2026,БАТОЧИНА,9672
17.08.2026,БАЧ,11796
17.08.2026,БАЧКА ПАЛАНКА,44419
17.08.2026,БАЧКА ТОПОЛА,26633
17.08.2026,БАЧКИ ПЕТРОВАЦ,11627
17.08.2026,БЕЛА ПАЛАНКА,8278
17.08.2026,БЕЛА ЦРКВА,15380
17.08.2026,БЕОГРАД-БАРАЈЕВО,24004
17.08.2026,БЕОГРАД-ВОЖДОВАЦ,163047
17.08.2026,БЕОГРАД-ВРАЧАР,62926
17.08.2026,БЕОГРАД-ГРОЦКА,73832
17.08.2026,БЕОГРАД-ЗВЕЗДАРА,164441
17.08.2026,БЕОГРАД-ЗЕМУН,171150
17.08.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49665
17.08.2026,БЕОГРАД-МЛАДЕНОВАЦ,45251
17.08.2026,БЕОГРАД-НОВИ БЕОГРАД,202252
17.08.2026,БЕОГРАД-ОБРЕНОВАЦ,64305
17.08.2026,БЕОГРАД-ПАЛИЛУЛА,175660
17.08.2026,БЕОГРАД-РАКОВИЦА,99027
17.08.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41223
17.08.2026,БЕОГРАД-СОПОТ,17351
17.08.2026,БЕОГРАД-СТАРИ ГРАД,52895
17.08.2026,БЕОГРАД-СУРЧИН,41096
17.08.2026,БЕОГРАД-ЧУКАРИЦА,163197
17.08.2026,БЕОЧИН,13292
17.08.2026,БЕЧЕЈ,30422
17.08.2026,БЛАЦЕ,8166
17.08.2026,БОГАТИЋ,23823
17.08.2026,БОЈНИК,8038
17.08.2026,БОЉЕВАЦ,9397
17.08.2026,БОР - ГРАД,38255
17.08.2026,БОСИЛЕГРАД,6980
17.08.2026,БРУС,12280
17.08.2026,БУЈАНОВАЦ,44445
17.08.2026,ВАЉЕВО - ГРАД,74255
17.08.2026,ВАРВАРИН,14578
17.08.2026,ВЕЛИКА ПЛАНА,34953
