ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
01.06.2026,07.06.2026,АДА,Упис по основу пријаве пребивалишта,1
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,4
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,2
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,27
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,2
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,6
01.06.2026,07.06.2026,АЛЕКСАНДРОВАЦ,Исправка техничке грешке,3
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,6
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,7
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Промена личних података,6
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,29
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,10
01.06.2026,07.06.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,20
01.06.2026,07.06.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,7
01.06.2026,07.06.2026,АЛИБУНАР,Промена личних података,5
01.06.2026,07.06.2026,АЛИБУНАР,Промена адресе пребивалишта,3
01.06.2026,07.06.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,2
01.06.2026,07.06.2026,АЛИБУНАР,Брисање по основу смрти лица,6
01.06.2026,07.06.2026,АПАТИН,Упис по основу стицања пунолетства,9
01.06.2026,07.06.2026,АПАТИН,Упис по основу пријаве пребивалишта,8
01.06.2026,07.06.2026,АПАТИН,Промена личних података,6
01.06.2026,07.06.2026,АПАТИН,Промена адресе пребивалишта,17
